股票代碼,目前價格,平均持倉成本,獲利比例(%),90%成本低標,90%成本高標,90%集中度(%),70%成本低標,70%成本高標,70%集中度(%),區間重疊度(%)
3260,393.5,365.42,92.33,284.16,419.34,34.36,331.41,389.16,14.68,42.72
2399,41.95,34.97,100.0,25.87,41.4,37.02,32.24,37.81,13.27,35.85
1441,11.8,14.08,7.62,11.18,17.29,51.81,13.84,15.37,12.95,25.0
1570,38.5,31.66,99.92,23.51,36.89,34.75,29.03,34.8,14.99,43.12
4967,238.5,226.45,85.56,209.12,260.33,21.47,214.81,238.71,10.02,46.67
3376,224.0,211.4,82.95,192.63,234.38,18.64,196.76,225.66,12.9,69.23
6921,104.0,67.35,100.0,59.59,81.77,21.32,61.06,70.99,9.54,44.75
8028,209.5,192.25,100.0,174.8,207.29,15.51,182.42,204.08,10.34,66.67
3115,10.35,10.53,89.76,10.36,12.14,17.26,10.36,10.39,0.37,2.13
6136,26.95,24.05,89.94,22.2,27.98,21.43,22.37,25.88,13.01,60.71
3138,198.0,183.01,95.31,168.5,197.89,14.85,174.46,191.5,8.61,57.97
